"categoria","keywords"
"Desarrollador Junior"," desarrolladores juniors"
"Desarrollador Senior"," sr programmer,desarrollador senior,developer senior"
"Desarrollador Full Stack","fullstack,full stack,full-stack"
"Desarrollador Frontend","frontend,front-end,front end,desarrollador web, web developer, web engineer"
"Desarrollador Backend","backend,back-end,python,java,back end"
"Desarrollador Mobile","mobile,android,ios,flutter,react native"
"QA / Tester","qa,tester,quality assurance,test engineer"
"Ciencia de Datos","data scientist,cientif co de datos,cientif ca de datos,data science,cientifico de datos,matemático aplicado,especialista en ciencia de datos"
"Analista de Datos","data analyst,business analyst,analista de datos,ingeniero de inteligencia de mercado,analyts data"
"Ingeniero de Datos","data engineer,data enginner,ingeniero de datos,ingeniero de datos aws,ingeniero en ciencia de datos"
"Arquitecto de Datos"," data architect,arquitecto de datos"
"Analista","analyst,analista,auditor,planogramador"
"Diseño UX/UI","ux,ui,diseñador ux,diseñador ui,product designer,user experience,diseñador integral"
"Product Manager","product owner,product manager,project manager,gerente producto,gerencia producto"
"Scrum / Agile","scrum master,agile coach"
"DevOps / Infraestructura","devops,sre,site reliability engineer,infraestructura,cloud expert,cloud ia,google cloud, cloud"
"Ciberseguridad","cybersecurity,security engineer,seguridad informática"
"Base de Datos / DBA","database,sql server,postgres,mysql,dba,database administrator"
"Soporte Técnico","soporte,support,helpdesk,mesa de ayuda"
"CTO / Líder Técnico","cto,chief technology officer,tech lead,lider tecnico,team leader,coordinator,technical leader,technical lead, tech leader"
"Business Intelligence","bi,business intelligence,power bi,tableau,looker"
"Consultor IT","consultor,consultant,it consultant,preventa,pre sales engineer,pre venta"
"Desarrollador","software engineer,desarrollador,developer,programador,software,ingeniero de software"
"Educación / Docencia","profesor,docente,educador"
"Legal","abogado,derecho,legal"
"Marketing Digital","marketing,seo,growth,campaign manager,especialista google ads,performance media,engagement lead"
"Ventas / Comercial","ventas,vendedor,sales,comercial,account manager,sdr,hunter,ejecutivo comercial,televendedor"
"Atención al Cliente","servicio al cliente,atencion a clientes,customer support,representante telefónico,customer experience specialist"
"Contenido / Copywriting","content strategist,copywriter,redaccion,publicación de contenido,contenido web"
"Investigación","investigador,investigación,research,práctica académica"
"Producción Audiovisual","editor de video,producción audiovisual,realizador audiovisual,fotógrafo"
"Visualización de Datos","visualización de datos,data viz"
"Automatización / RPA","automatización de procesos,rpa,líder de automatización"
"Gobierno de Datos","gobierno de datos,data governance"
"Arquitectura de Software","arquitectura de software,arquitecto de soluciones"
"Reclutamiento / RRHH","reclutador,talento humano,rrhh,human resources"
"Mantenimiento / Soporte Técnico","ingeniero de mantenimiento,principal maintenance engineer"
"Administración / Finanzas","asistente administrativo,contable,finance transformation,account"
"Traducción / Transcripción","transcriber,transcripción,transcriptores"
"Derecho / Legislación","derecho,profesor de derecho"
"IA / Entrenamiento de Modelos","entrenador de inteligencia artificial,entropía ai,training models,ai trainer,experiencia en programación para ia,machine learning,inteligencia artificial,artificial intelligence,ai engineer"
"Experiencia del Cliente","customer learning specialist,customer experience,customer integration specialist"
"Ecosistema Fintech","fintech ecosystem,broker channel"
"Ingeniería en Sistemas"," system engineer,ingenieria en sistemas,ingeniero en sistemas,ingeniera en sistemas,systems engineer"
"Ingeniero de Soluciones"," solutions engineer,solutions enginner"
"Ingeniería / Robótica","robotics,autonomy,ingeniería mecatrónica"
"Operaciones / Logística","operations leader,logística,gestión de operaciones"
"Ventas Técnicas / Preventa","especialista microsoft,especialista en ventas zsoftware,preventa,pre-sales"
"Agente Inmobiliario","inmobiliario"
