"sector_general","keywords","sector"
"Marketing y Publicidad","advertising,marketing,design,market research,branding",NA
"Banca, Finanzas y Seguros","banking,financial,insurance,accounting,fintech",NA
"Tecnología","software,it,information technology,information services,data,technology,developer,programming",NA
"Blockchain y Criptomonedas","blockchain,crypto,web3",NA
"Educación","education,e-learning,learning,education administration,training",NA
"Salud y Biotecnología","health,hospital,care,medical,biotechnology,pharmaceutical,clinical",NA
"Retail y Comercio","retail,commerce,shop,wholesale,consumer services,e-commerce",NA
"Industria y Manufactura","manufacturing,industrial,engineering,vehicle,automotive,mechanical",NA
"Consultoría","consulting,advisory,strategy",NA
"Telecomunicaciones","telecommunications,telecom",NA
"Logística y Transporte","logistics,transportation,shipping,logisticis,airlines,aviation,supply chain",NA
"Arquitectura y Urbanismo","architecture,arquitecture,planning,interior design",NA
"Agricultura y Ganadería","farming,agriculture,agribusiness,forestry",NA
"Alimentos y Hospitalidad","food,beverage,hospitality,restaurants,culinary",NA
"Energía y Recursos Naturales","mining,oil,gas,extractive",NA
"Energía Renovable","renewable,solar,wind,clean energy",NA
"Servicios Ambientales","environmental,waste management,sustainability,forest",NA
"Legal","legal,law,attorney,regulatory",NA
"Bienes Raíces","real estate,property,housing,inmobiliaria",NA
"Construcción","construction,building,civil engineering",NA
"Medios y Entretenimiento","media,television,film,broadcast,radio,entertainment,video production",NA
"Recursos Humanos","recruitment,staffing,human resources,hr,talent acquisition",NA
"Turismo y Viajes","tourism,travel,hospitality,leisure",NA
"Organizaciones Sin Fines de Lucro","nonprofit,ngo,foundation,charity,ong",NA
